,random_state,n_splits,Train Score,Cross-Val Score,Cross-val std
0,74051.0,2.0,62.524600982026115,187.77074312532164,24.748412688817368
1,74051.0,3.0,73.5086505957029,220.97761736864766,57.46096198814039
2,74051.0,4.0,72.13073035508445,227.10065234030228,67.61705897914851
3,74051.0,5.0,70.08647512330147,211.94858793142666,69.84662837727669
4,74051.0,6.0,69.39442803286238,209.01488515410915,69.07316864612113
5,74051.0,7.0,72.67763082602129,211.21208292358398,74.47222658148921
6,74051.0,8.0,70.3849369280932,216.10350416492662,76.11899468558222
7,74051.0,9.0,70.77414229932464,214.89059412888452,76.78408785159526
8,74051.0,10.0,72.42932754879558,208.86777060505327,84.06582482917004
9,74051.0,11.0,72.57941189972237,215.19839579764744,84.06858928164486
10,74051.0,12.0,71.87194881416522,217.60979528238414,86.73716437899114
11,74051.0,13.0,71.31662679657747,205.78467428704903,83.16736674331202
12,74051.0,14.0,72.61070525193612,216.26666110903875,87.4635845567357
13,70476.0,2.0,62.524600982026115,187.77074312532164,24.748412688817368
14,70476.0,3.0,73.5086505957029,220.97761736864766,57.46096198814039
15,70476.0,4.0,72.13073035508445,227.10065234030228,67.61705897914851
16,70476.0,5.0,70.08647512330147,211.94858793142666,69.84662837727669
17,70476.0,6.0,69.39442803286238,209.01488515410915,69.07316864612113
18,70476.0,7.0,72.67763082602129,211.21208292358398,74.47222658148921
19,70476.0,8.0,70.3849369280932,216.10350416492662,76.11899468558222
20,70476.0,9.0,70.77414229932464,214.89059412888452,76.78408785159526
21,70476.0,10.0,72.42932754879558,208.86777060505327,84.06582482917004
22,70476.0,11.0,72.57941189972237,215.19839579764744,84.06858928164486
23,70476.0,12.0,71.87194881416522,217.60979528238414,86.73716437899114
24,70476.0,13.0,71.31662679657747,205.78467428704903,83.16736674331202
25,70476.0,14.0,72.61070525193612,216.26666110903875,87.4635845567357
26,66600.0,2.0,62.524600982026115,187.77074312532164,24.748412688817368
27,66600.0,3.0,73.5086505957029,220.97761736864766,57.46096198814039
28,66600.0,4.0,72.13073035508445,227.10065234030228,67.61705897914851
29,66600.0,5.0,70.08647512330147,211.94858793142666,69.84662837727669
30,66600.0,6.0,69.39442803286238,209.01488515410915,69.07316864612113
31,66600.0,7.0,72.67763082602129,211.21208292358398,74.47222658148921
32,66600.0,8.0,70.3849369280932,216.10350416492662,76.11899468558222
33,66600.0,9.0,70.77414229932464,214.89059412888452,76.78408785159526
34,66600.0,10.0,72.42932754879558,208.86777060505327,84.06582482917004
35,66600.0,11.0,72.57941189972237,215.19839579764744,84.06858928164486
36,66600.0,12.0,71.87194881416522,217.60979528238414,86.73716437899114
37,66600.0,13.0,71.31662679657747,205.78467428704903,83.16736674331202
38,66600.0,14.0,72.61070525193612,216.26666110903875,87.4635845567357
39,22374.0,2.0,62.524600982026115,187.77074312532164,24.748412688817368
40,22374.0,3.0,73.5086505957029,220.97761736864766,57.46096198814039
41,22374.0,4.0,72.13073035508445,227.10065234030228,67.61705897914851
42,22374.0,5.0,70.08647512330147,211.94858793142666,69.84662837727669
43,22374.0,6.0,69.39442803286238,209.01488515410915,69.07316864612113
44,22374.0,7.0,72.67763082602129,211.21208292358398,74.47222658148921
45,22374.0,8.0,70.3849369280932,216.10350416492662,76.11899468558222
46,22374.0,9.0,70.77414229932464,214.89059412888452,76.78408785159526
47,22374.0,10.0,72.42932754879558,208.86777060505327,84.06582482917004
48,22374.0,11.0,72.57941189972237,215.19839579764744,84.06858928164486
49,22374.0,12.0,71.87194881416522,217.60979528238414,86.73716437899114
50,22374.0,13.0,71.31662679657747,205.78467428704903,83.16736674331202
51,22374.0,14.0,72.61070525193612,216.26666110903875,87.4635845567357
52,98998.0,2.0,62.524600982026115,187.77074312532164,24.748412688817368
53,98998.0,3.0,73.5086505957029,220.97761736864766,57.46096198814039
54,98998.0,4.0,72.13073035508445,227.10065234030228,67.61705897914851
55,98998.0,5.0,70.08647512330147,211.94858793142666,69.84662837727669
56,98998.0,6.0,69.39442803286238,209.01488515410915,69.07316864612113
57,98998.0,7.0,72.67763082602129,211.21208292358398,74.47222658148921
58,98998.0,8.0,70.3849369280932,216.10350416492662,76.11899468558222
59,98998.0,9.0,70.77414229932464,214.89059412888452,76.78408785159526
60,98998.0,10.0,72.42932754879558,208.86777060505327,84.06582482917004
61,98998.0,11.0,72.57941189972237,215.19839579764744,84.06858928164486
62,98998.0,12.0,71.87194881416522,217.60979528238414,86.73716437899114
63,98998.0,13.0,71.31662679657747,205.78467428704903,83.16736674331202
64,98998.0,14.0,72.61070525193612,216.26666110903875,87.4635845567357
65,17695.0,2.0,62.524600982026115,187.77074312532164,24.748412688817368
66,17695.0,3.0,73.5086505957029,220.97761736864766,57.46096198814039
67,17695.0,4.0,72.13073035508445,227.10065234030228,67.61705897914851
68,17695.0,5.0,70.08647512330147,211.94858793142666,69.84662837727669
69,17695.0,6.0,69.39442803286238,209.01488515410915,69.07316864612113
70,17695.0,7.0,72.67763082602129,211.21208292358398,74.47222658148921
71,17695.0,8.0,70.3849369280932,216.10350416492662,76.11899468558222
72,17695.0,9.0,70.77414229932464,214.89059412888452,76.78408785159526
73,17695.0,10.0,72.42932754879558,208.86777060505327,84.06582482917004
74,17695.0,11.0,72.57941189972237,215.19839579764744,84.06858928164486
75,17695.0,12.0,71.87194881416522,217.60979528238414,86.73716437899114
76,17695.0,13.0,71.31662679657747,205.78467428704903,83.16736674331202
77,17695.0,14.0,72.61070525193612,216.26666110903875,87.4635845567357
78,17288.0,2.0,62.524600982026115,187.77074312532164,24.748412688817368
79,17288.0,3.0,73.5086505957029,220.97761736864766,57.46096198814039
80,17288.0,4.0,72.13073035508445,227.10065234030228,67.61705897914851
81,17288.0,5.0,70.08647512330147,211.94858793142666,69.84662837727669
82,17288.0,6.0,69.39442803286238,209.01488515410915,69.07316864612113
83,17288.0,7.0,72.67763082602129,211.21208292358398,74.47222658148921
84,17288.0,8.0,70.3849369280932,216.10350416492662,76.11899468558222
85,17288.0,9.0,70.77414229932464,214.89059412888452,76.78408785159526
86,17288.0,10.0,72.42932754879558,208.86777060505327,84.06582482917004
87,17288.0,11.0,72.57941189972237,215.19839579764744,84.06858928164486
88,17288.0,12.0,71.87194881416522,217.60979528238414,86.73716437899114
89,17288.0,13.0,71.31662679657747,205.78467428704903,83.16736674331202
90,17288.0,14.0,72.61070525193612,216.26666110903875,87.4635845567357
91,89175.0,2.0,62.524600982026115,187.77074312532164,24.748412688817368
