,Comment,Train Score,Cross-val Score,Test RMSE
0,Just median,148.80603840117578,,169.19374
1,LightGBM on unprocessed data,72.13073035508445,227.10065234030228,92.71815
2,Only important features,72.12256023979076,227.04552806075094,
3,+ Location_enc,55.45599941317502,143.7329749815178,
4,+ WeekCount,55.2625548334599,143.76580244544658,
5,3 + week_no_enc,54.35594010989684,143.4668438765463,
6,+ Location+week_no_enc,52.71799382122002,140.84490799238284,
7,The 2 most important,65.60013246199901,138.23283551066356,
